"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"html-keyboard-response","204","955214","0.0-5.0-2.0-1.42","spark_pilot_2","7348","3","13","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","85","","",""
"revaluation","205","961220","0.0-5.0-2.0-0.43","spark_pilot_2","7348","3","13","Female","","false","","","","","","[1044,843]","./assets/img/ocean/memory/25.jpg","[""ArrowUp"",""ArrowLeft""]","value training","ocean","23","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","false","ArrowUp,ArrowLeft","false","","","original","1","86","","",""
"html-keyboard-response","206","961722","0.0-5.0-2.0-1.43","spark_pilot_2","7348","3","13","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","87","","",""
"revaluation","207","967727","0.0-5.0-2.0-0.44","spark_pilot_2","7348","3","13","Female","","false","","","","","","[1377,1085.9999999998836]","./assets/img/ocean/memory/33.jpg","[""ArrowUp"",""ArrowRight""]","value training","ocean","10","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","false","ArrowUp,ArrowRight","false","","","original","1","88","","",""
"html-keyboard-response","208","968228","0.0-5.0-2.0-1.44","spark_pilot_2","7348","3","13","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","89","","",""
"revaluation","209","974233","0.0-5.0-2.0-0.45","spark_pilot_2","7348","3","13","Female","","false","","","","","","[866.9999999998836,1870]","./assets/img/ocean/memory/34.jpg","[""ArrowDown"",""ArrowRight""]","value training","ocean","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","original","1","90","","",""
"html-keyboard-response","210","974735","0.0-5.0-2.0-1.45","spark_pilot_2","7348","3","13","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","91","","",""
"revaluation","211","980740","0.0-5.0-2.0-0.46","spark_pilot_2","7348","3","13","Female","","false","","","","","","[998,1135]","./assets/img/ocean/memory/1.jpg","[""ArrowDown"",""ArrowLeft""]","value training","ocean","8","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","false","ArrowDown,ArrowLeft","false","","","original","1","92","","",""
"html-keyboard-response","212","981241","0.0-5.0-2.0-1.46","spark_pilot_2","7348","3","13","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","93","","",""
"revaluation","213","987246","0.0-5.0-2.0-0.47","spark_pilot_2","7348","3","13","Female","","false","","","","","","[983,1164]","./assets/img/ocean/memory/19.jpg","[""ArrowUp"",""ArrowRight""]","value training","ocean","10","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","false","ArrowUp,ArrowRight","false","","","original","1","94","","",""
