"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"sailing-trial","118","732731","0.0-11.0-83.0","","","","false","","","","","","","","","","null","","987.3999999999069","","3","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","119","736499","0.0-11.0-84.0","","","","false","","","","","","","","","","529.0999999998603","","114.4000000001397","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","120","739538","0.0-11.0-85.0","","","","false","","","","","","","","","","null","","906.8999999999069","","3","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","121","743175","0.0-11.0-86.0","","","","false","","","","","","","","","","523.1999999999534","","669.2000000001863","","0","0","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","122","747019","0.0-11.0-87.0","","","","false","","","","","","","","","","null","","1900.1000000000931","","0","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","123","750986","0.0-11.0-88.0","","","","false","","","","","","","","","","420.80000000004657","","231.10000000009313","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","124","753974","0.0-11.0-89.0","","","","false","","","","","","","","","","null","","1678.1999999999534","","1","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","125","757463","0.0-11.0-90.0","","","","false","","","","","","","","","","488.60000000009313","","348.89999999990687","","0","0","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","126","759789","0.0-11.0-91.0","","","","false","","","","","","","","","","null","","952","","3","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","127","763372","0.0-11.0-92.0","","","","false","","","","","","","","","","385.39999999990687","","232.10000000009313","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","128","765795","0.0-11.0-93.0","","","","false","","","","","","","","","","null","","951.5","","0","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","129","770239","0.0-11.0-94.0","","","","false","","","","","","","","","","817.3999999999069","","683.8000000000466","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","130","773574","0.0-11.0-95.0","","","","false","","","","","","","","","","null","","1518.7000000001863","","2","1","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","131","776606","0.0-11.0-96.0","","","","false","","","","","","","","","","472.60000000009313","","311.19999999995343","","2","0","arrowright","1","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","132","779693","0.0-11.0-97.0","","","","false","","","","","","","","","","null","","1079.8000000000466","","3","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","133","783341","0.0-11.0-98.0","","","","false","","","","","","","","","","420.4000000001397","","326.69999999995343","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","134","786325","0.0-11.0-99.0","","","","false","","","","","","","","","","null","","1075.5","","1","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","135","791460","0.0-11.0-100.0","","","","false","","","","","","","","","","572.8000000000466","","428.69999999995343","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","136","793935","0.0-11.0-101.0","","","","false","","","","","","","","","","null","","898.6000000000931","","3","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","137","798028","0.0-11.0-102.0","","","","false","","","","","","","","","","472","","597.9000000001397","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","138","800945","0.0-11.0-103.0","","","","false","","","","","","","","","","null","","1286.8000000000466","","3","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","139","804635","0.0-11.0-104.0","","","","false","","","","","","","","","","1123.8999999999069","","5.800000000046566","","2","0","arrowright","1","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","140","807299","0.0-11.0-105.0","","","","false","","","","","","","","","","null","","1160.3000000000466","","1","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","141","811447","0.0-11.0-106.0","","","","false","","","","","","","","","","448.20000000018626","","177.5","","0","0","arrowleft","0","arrowleft","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","142","816531","0.0-11.0-107.0","","","","false","","","","","","","","","","null","","2780.3000000000466","","3","1","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","143","820287","0.0-11.0-108.0","","","","false","","","","","","","","","","515.6999999999534","","418.89999999990687","","3","1","arrowright","1","arrowright","[0.325,0.675,0.15,0.85]","","",""
"sailing-trial","144","822507","0.0-11.0-109.0","","","","false","","","","","","","","","","null","","890.8999999999069","","2","0","null","null","arrowup","[0.325,0.675,0.15,0.85]","","",""
