,subject_id,block_condition,reval_score,age,categorical_age,block_order,environment,rest,second_stage_test,last_10_accuracy
150,8564,Control,1.0,10.9,Children,1.0,ocean,No Rest,0.75,1.0
151,8566,Control,0.0,10.49,Children,1.0,ocean,No Rest,0.5,1.0
152,8568,Control,0.5,10.37,Children,2.0,canyon,No Rest,1.0,1.0
153,8574,Control,0.0,10.91,Children,2.0,canyon,No Rest,0.875,1.0
154,8582,Control,0.0,11.62,Children,2.0,ocean,No Rest,0.875,1.0
155,8584,Control,0.0,11.51,Children,1.0,canyon,No Rest,1.0,1.0
156,8587,Control,0.25,11.74,Children,2.0,ocean,No Rest,0.75,1.0
157,8589,Control,0.0,11.97,Children,2.0,ocean,No Rest,1.0,1.0
158,8595,Control,0.0,12.08,Children,2.0,ocean,No Rest,0.75,1.0
159,8599,Control,0.0,12.69,Children,1.0,canyon,No Rest,0.875,1.0
160,8607,Control,0.75,13.56,Adolescents,1.0,ocean,No Rest,0.5,1.0
161,8609,Control,0.0,13.95,Adolescents,1.0,canyon,No Rest,1.0,1.0
162,8610,Control,0.0,13.28,Adolescents,1.0,canyon,No Rest,0.875,1.0
163,8615,Control,1.0,13.87,Adolescents,2.0,canyon,No Rest,0.875,1.0
164,8619,Control,0.0,13.44,Adolescents,2.0,ocean,No Rest,1.0,1.0
165,8620,Control,0.0,13.31,Adolescents,1.0,canyon,No Rest,1.0,1.0
166,8624,Control,-0.09999999999999998,14.42,Adolescents,1.0,canyon,No Rest,0.375,0.9
167,8632,Control,0.5,14.62,Adolescents,1.0,ocean,No Rest,0.875,1.0
168,8633,Control,0.25,14.83,Adolescents,1.0,canyon,No Rest,0.75,1.0
169,8661,Control,0.5,16.49,Adolescents,2.0,canyon,No Rest,0.5,1.0
170,8674,Control,0.0,17.87,Adolescents,1.0,ocean,No Rest,1.0,1.0
171,8676,Control,1.0,18.94,Adults,2.0,ocean,No Rest,1.0,1.0
172,8678,Control,0.0,18.79,Adults,2.0,canyon,No Rest,1.0,1.0
173,8684,Control,0.5,18.74,Adults,2.0,canyon,No Rest,1.0,1.0
174,8687,Control,0.0,19.34,Adults,2.0,canyon,No Rest,1.0,1.0
175,8699,Control,0.0,19.45,Adults,1.0,canyon,No Rest,1.0,0.9
176,8700,Control,0.25,19.67,Adults,1.0,ocean,No Rest,1.0,1.0
177,8702,Control,0.0,19.13,Adults,2.0,canyon,No Rest,1.0,1.0
178,8706,Control,1.0,20.97,Adults,2.0,ocean,No Rest,1.0,1.0
179,8716,Control,0.5,21.65,Adults,1.0,ocean,No Rest,1.0,1.0
180,8719,Control,0.0,21.57,Adults,1.0,canyon,No Rest,1.0,1.0
