"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"html-keyboard-response","547","1819466","0.0-5.0-4.0-1.29","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","67","","",""
"memory-trial","548","1823171","0.0-5.0-4.0-0.30","spark_pilot_norest","8205","6","20","Female","","false","","","","","2703","./assets/img/ocean/memory/11.jpg","maybe_new","memory","","0","","false","","","","","68","3","old",""
"html-keyboard-response","549","1823673","0.0-5.0-4.0-1.30","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","69","","",""
"memory-trial","550","1827072","0.0-5.0-4.0-0.31","spark_pilot_norest","8205","6","20","Female","","false","","","","","2397","./assets/img/canyon/memory/26.jpg","maybe_old","memory","","0","","false","","","","","70","2","new",""
"html-keyboard-response","551","1827574","0.0-5.0-4.0-1.31","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","71","","",""
"memory-trial","552","1830602","0.0-5.0-4.0-0.32","spark_pilot_norest","8205","6","20","Female","","false","","","","","2026","./assets/img/ocean/memory/37.jpg","definitely_old","memory","","0","","false","","","","","72","1","new",""
"html-keyboard-response","553","1831104","0.0-5.0-4.0-1.32","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","73","","",""
"memory-trial","554","1834492","0.0-5.0-4.0-0.33","spark_pilot_norest","8205","6","20","Female","","false","","","","","2385","./assets/img/canyon/memory/17.jpg","definitely_new","memory","","0","","false","","","","","74","4","old",""
"html-keyboard-response","555","1834995","0.0-5.0-4.0-1.33","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","75","","",""
"memory-trial","556","1837562","0.0-5.0-4.0-0.34","spark_pilot_norest","8205","6","20","Female","","false","","","","","1565","./assets/img/ocean/memory/13.jpg","definitely_new","memory","","10","","true","","","","","76","4","new",""
"html-keyboard-response","557","1838065","0.0-5.0-4.0-1.34","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","77","","",""
"memory-trial","558","1840783","0.0-5.0-4.0-0.35","spark_pilot_norest","8205","6","20","Female","","false","","","","","1715","./assets/img/canyon/memory/6.jpg","definitely_new","memory","","10","","true","","","","","78","4","new",""
"html-keyboard-response","559","1841285","0.0-5.0-4.0-1.35","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","79","","",""
"memory-trial","560","1844832","0.0-5.0-4.0-0.36","spark_pilot_norest","8205","6","20","Female","","false","","","","","2544","./assets/img/ocean/memory/38.jpg","definitely_new","memory","","10","","true","","","","","80","4","new",""
"html-keyboard-response","561","1845334","0.0-5.0-4.0-1.36","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","81","","",""
"memory-trial","562","1848082","0.0-5.0-4.0-0.37","spark_pilot_norest","8205","6","20","Female","","false","","","","","1745","./assets/img/ocean/memory/15.jpg","definitely_new","memory","","10","","true","","","","","82","4","new",""
"html-keyboard-response","563","1848584","0.0-5.0-4.0-1.37","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","83","","",""
"memory-trial","564","1852202","0.0-5.0-4.0-0.38","spark_pilot_norest","8205","6","20","Female","","false","","","","","2616","./assets/img/canyon/memory/1.jpg","maybe_new","memory","","0","","false","","","","","84","3","old",""
"html-keyboard-response","565","1852704","0.0-5.0-4.0-1.38","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","85","","",""
"memory-trial","566","1855402","0.0-5.0-4.0-0.39","spark_pilot_norest","8205","6","20","Female","","false","","","","","1695","./assets/img/ocean/memory/4.jpg","definitely_new","memory","","10","","true","","","","","86","4","new",""
"html-keyboard-response","567","1855904","0.0-5.0-4.0-1.39","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","87","","",""
"memory-trial","568","1858703","0.0-5.0-4.0-0.40","spark_pilot_norest","8205","6","20","Female","","false","","","","","1794","./assets/img/canyon/memory/3.jpg","definitely_old","memory","","0","","false","","","","","88","1","new",""
"html-keyboard-response","569","1859205","0.0-5.0-4.0-1.40","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","89","","",""
"memory-trial","570","1862602","0.0-5.0-4.0-0.41","spark_pilot_norest","8205","6","20","Female","","false","","","","","2394","./assets/img/canyon/memory/18.jpg","definitely_new","memory","","10","","true","","","","","90","4","new",""
